StateName,AddStates,CurrentSpeaker,Dialogue,Action,AddEvents,RemoveEvents,RequireEvents
S1,"C1A,C1B,C1C",GrannyGood,Why hello there dearie. Would you like to try one of my Marvelous Meat Pies? They're piping hot and only 10 copper each!,,,,
C1A,R1A,Player,"Why yes, I would.",Player: Places (Gold) on (Counter),,,
C1B,R1B,Player,"No, perhaps another time.",Player: Places (Gold) on (Counter),,,
C1C,R1C,Player,Are they made from real meat?,Player: Places (Gold) on (Counter),,,
R1A,P1,GrannyGood,"Here you go, darling.","Hamen: Takes (Gold),
Hamen: Gives (key),
Player: +5 Suspicion",,,
P1,P2,GrannyGood, It makes an old woman glad to see young people enjoy one of my pies.,"Player: Takes (Gold), 
Player: Goto (Table),
Hamen: Gives (Key),
Hamen: Retrieves (Bowl Of Stew)
Hamen: Goto (Mug of Ale),
Hamen: Picksup (Mug of Ale),
Hamen: Goto (Player),
Hamen: Places (Mug of Ale) on (Table),
Hamen: Goto (Counter)",,,
R1B,P2,GrannyGood,Well that's alright darling.,"Hamen: Goto (Counter),
Hamen: PolishesMugs",,,
P2,,GrannyGood,You take care now!,,,,
R1C,P3,GrannyGood,Why of course they are! ,,,,
P3,"C1A,C1B",GrannyGood,I make it a point of professional integrity to butcher all my own meat myself so that the meat in each pie is guaranteed fresh. Would you like to try one dearie?,Endgame: SleepyHollow,,,
S2,P4,GrannyGood,Why hello there dearie. Are you back for one of my Marvelous Meat Pies? ,,,,
P4,"C2A,C2B",GrannyGood,They'll make sure you grow nice and strong!,"Hamen: Attacks (Player),",,,
C2A,R2A,Player,"Sure, I'd love one.","Guards: Teleport (Inn Entrance),
Guards: Attack (Player),
Inndoor: Lock ",,,
C2B,R2B,Player,No thanks.,,,,
R2A,,GrannyGood,"There you go! A nice, piping hot meat pie. Enjoy dearie!",,,,
R2B,,GrannyGood,"You're breaking an old woman's heart, darling.",,,,ObsvCellarDoor
SP,P5,Player,What do you have in that old locked cellar ma'am?,,,,
P5,P6,GrannyGood,That's where I keep my Rye Flour and Dried Meats.,,,,
P6,P7,GrannyGood, I locked it to keep bears out but I seem to have lost the key! ,,,,
P7,,GrannyGood,"If you find it for me, I could probably make some Very Special Meat Pies!",,,,
