StateName,AddStates,CurrentSpeaker,Dialogue,Action,AddEvents,RemoveEvents,RequireEvents,ExcludeEvents
S1HInnK,"C1A,C1B,C1C",Hamen The Innkeeper,Hello stranger. What can I do for you?,,,,,
C1A,R1A,Player,I'd like a room. I'll be in town for some time. Gold won't be an issue.,Player: PUTS 10 (Gold) on (Buildings_Inn_Floor 1 Room 1_Bar),,,,ObtainedRoom
C1B,R1B,Player,"I'd like some ale, a hot meal and a room for the night.",Player: PUTS 10 (Gold) on (Buildings_Inn_Floor 1 Room 1_Bar),,,ObtainedRoom,
C1C,R1C,Player,I'm investigating the town for suspicious activity. Do you know anything? ,Player: PUTS 10 (Gold) on (Inn_Floor1_Counter),,,ObtainedRoom,
R1A,,Hamen The Innkeeper,"Sure, I've got a room on the second floor. Up the stairs, and at the end of the hallway on your right. ","Hamen: TAKE 10 (Gold) from (Inn_Floor1_Counter)Hamen: PUTS (Key)Player: +5 Suspicion",ObtainedRoom,,,
R1B,,Hamen The Innkeeper,"Ah, a traveller eh? Well, my ale is strong, the meals are hearty and the beds are soft. ","Player: TAKES (Gold)Player: WALKTO (Buildings_Inn_Floor 1 Room 1_Table)Hamen: GIVES (Buildings_Floor 2 Room 1_Key) TO PlayerHamen: TAKES (Bowl Of Stew)Hamen: PUTS (Bowl Of Stew) ON (Buildings_Inn_Floor 1 Room 1_Table)Hamen: WALKTO (Buildings_Inn_Floor 1 Room 1_Bar)Hamen: ANIMATE (Hold Mug of Ale)Hamen: PUTS (Mug of Ale) ON (Room_1_Table)Hamen: WALKTO (Player)Hamen: PUTS (Mug of Ale) ON (Room_1_Table)Hamen: WALKTO (Buildings_Inn_Floor 1 Room 1_Bar)",,,,
R1C,"C2A,C2B,C2C",Hamen The Innkeeper,Can't say I do there mister. ,"Hamen: WALKTO (Buildings_Inn_Floor 1 Room 1_Bar)Hamen: ANIMATE (Poliishes Mugs)",,,,
C2A,R2A,Player,Keep me informed if you hear anything then. I'll also require a room for the night.,,,,,
C2B,R2B,Player,I've been sent by the King. Tell me what you know.,,,,,
C2C,R2C,Player,Alright then. I'll leave you to your business.,,,,,
R2A,,Hamen The Innkeeper,Of course. Here's the key.,Endgame: SleepyHollow,,,,
R2B,P1,Hamen The Innkeeper,"Look, I've told you. I don't know anything, sir!",,,,,
R2C,,Hamen The Innkeeper,Have yourself a good night then.,,,,,
P1,S1,Player,Tell me the truth pops! What do you KNOW?,Hamen: ATTACK (Player),,,,
S1,,Hamen The Innkeeper,Guards! Help! Assault!,"Guards: TELEPORT (Buildings_Inn_Floor 1 Room 1)Guards: ATTACK (Player)LOCKDOOR (Buildings_Inn_Floor 1 Room 1)",,,,
